iShares MSCI ACWI ex U.S. ETF,,,,,,,,,,,,,,
Fund Holdings as of,25-Apr-25,,,,,,,,,,,,,
Inception Date,26-Mar-08,,,,,,,,,,,,,
Shares Outstanding,"105,400,000.00",,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BNS,BANK OF NOVA SCOTIA,Financials,Equity,"13,017,385.40",0.22,"13,017,385.40","266,765.00",48.8,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
DGE,DIAGEO PLC,Consumer Staples,Equity,"12,924,287.13",0.22,"12,924,287.13","470,281.00",27.48,United Kingdom,London Stock Exchange,USD,0.75,GBP,01-Jan-98
9983,FAST RETAILING LTD,Consumer Discretionary,Equity,"12,858,482.38",0.22,"12,858,482.38","39,600.00",324.71,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
AEM,AGNICO EAGLE MINES LTD,Materials,Equity,"12,838,233.87",0.22,"12,838,233.87","108,216.00",118.64,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
LLOY,LLOYDS BANKING GROUP PLC,Financials,Equity,"12,820,373.96",0.22,"12,820,373.96","13,196,195.00",0.97,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
ITX,INDUSTRIA DE DISENO TEXTIL INDITEX,Consumer Discretionary,Equity,"12,792,820.14",0.22,"12,792,820.14","231,065.00",55.36,Spain,Bolsa De Madrid,USD,0.88,EUR,-
8001,ITOCHU CORP,Industrials,Equity,"12,738,561.56",0.22,"12,738,561.56","257,300.00",49.51,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
8411,MIZUHO FINANCIAL GROUP INC,Financials,Equity,"12,705,805.87",0.21,"12,705,805.87","524,160.00",24.24,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
HOLN,HOLCIM LTD AG,Materials,Equity,"12,670,072.19",0.21,"12,670,072.19","114,396.00",110.76,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
ABI,ANHEUSER-BUSCH INBEV SA,Consumer Staples,Equity,"12,660,695.41",0.21,"12,660,695.41","194,289.00",65.16,Belgium,Nyse Euronext - Euronext Brussels,USD,0.88,EUR,-
CM,CANADIAN IMPERIAL BANK OF COMMERCE,Financials,Equity,"12,391,789.53",0.21,"12,391,789.53","202,802.00",61.1,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
INFY,INFOSYS LTD,Information Technology,Equity,"12,326,642.52",0.21,"12,326,642.52","711,528.00",17.32,India,National Stock Exchange Of India,USD,85.44,INR,-
RACE,FERRARI NV,Consumer Discretionary,Equity,"12,266,996.89",0.21,"12,266,996.89","26,855.00",456.79,Italy,Borsa Italiana,USD,0.88,EUR,-
BARC,BARCLAYS PLC,Financials,Equity,"12,042,975.44",0.2,"12,042,975.44","3,090,007.00",3.9,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
BN,DANONE SA,Consumer Staples,Equity,"11,924,523.65",0.2,"11,924,523.65","140,266.00",85.01,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
2317,HON HAI PRECISION INDUSTRY LTD,Information Technology,Equity,"11,818,482.21",0.2,"11,818,482.21","2,764,377.00",4.28,Taiwan,Taiwan Stock Exchange,USD,32.51,TWD,26-Sep-91
CPG,COMPASS GROUP PLC,Consumer Discretionary,Equity,"11,807,233.39",0.2,"11,807,233.39","360,795.00",32.73,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
BHARTIARTL,BHARTI AIRTEL LTD,Communication,Equity,"11,784,042.06",0.2,"11,784,042.06","554,063.00",21.27,India,National Stock Exchange Of India,USD,85.44,INR,-
ANZ,ANZ GROUP HOLDINGS LTD,Financials,Equity,"11,766,761.53",0.2,"11,766,761.53","638,400.00",18.43,Australia,Asx - All Markets,USD,1.56,AUD,01-Jan-98
WES,WESFARMERS LTD,Consumer Discretionary,Equity,"11,763,779.00",0.2,"11,763,779.00","243,026.00",48.41,Australia,Asx - All Markets,USD,1.56,AUD,-
9433,KDDI CORP,Communication,Equity,"11,681,528.04",0.2,"11,681,528.04","667,400.00",17.5,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
SREN,SWISS RE AG,Financials,Equity,"11,679,980.72",0.2,"11,679,980.72","66,930.00",174.51,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
III,3I GROUP PLC,Financials,Equity,"11,603,325.88",0.2,"11,603,325.88","207,145.00",56.02,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
MFC,MANULIFE FINANCIAL CORP,Financials,Equity,"11,215,499.97",0.19,"11,215,499.97","370,823.00",30.24,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
CNR,CANADIAN NATIONAL RAILWAY,Industrials,Equity,"11,174,329.08",0.19,"11,174,329.08","115,076.00",97.1,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
TRP,TC ENERGY CORP,Energy,Equity,"11,122,900.39",0.19,"11,122,900.39","223,936.00",49.67,Canada,Toronto Stock Exchange,USD,1.39,CAD,-
LONN,LONZA GROUP AG,Health Care,Equity,"11,095,656.52",0.19,"11,095,656.52","16,045.00",691.53,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
388,HONG KONG EXCHANGES AND CLEARING L,Financials,Equity,"11,017,699.19",0.19,"11,017,699.19","252,400.00",43.65,Hong Kong,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
4063,SHIN ETSU CHEMICAL LTD,Materials,Equity,"10,971,060.25",0.19,"10,971,060.25","390,400.00",28.1,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
1120,AL RAJHI BANK,Financials,Equity,"10,928,882.79",0.18,"10,928,882.79","417,490.00",26.18,Saudi Arabia,Saudi Stock Exchange,USD,3.75,SAR,-
1398,INDUSTRIAL AND COMMERCIAL BANK OF,Financials,Equity,"10,905,153.37",0.18,"10,905,153.37","15,464,285.00",0.71,China,Hong Kong Exchanges And Clearing Ltd,USD,7.76,HKD,-
8031,MITSUI LTD,Industrials,Equity,"10,888,265.32",0.18,"10,888,265.32","555,900.00",19.59,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
INVE B,INVESTOR CLASS B,Financials,Equity,"10,886,530.59",0.18,"10,886,530.59","368,411.00",29.55,Sweden,Nasdaq Omx Nordic,USD,9.68,SEK,-
ENR,SIEMENS ENERGY N AG,Industrials,Equity,"10,699,739.26",0.18,"10,699,739.26","138,571.00",77.22,Germany,Xetra,USD,0.88,EUR,-
SGO,COMPAGNIE DE SAINT GOBAIN SA,Industrials,Equity,"10,524,285.42",0.18,"10,524,285.42","97,962.00",107.43,France,Nyse Euronext - Euronext Paris,USD,0.88,EUR,-
ALC,ALCON AG,Health Care,Equity,"10,377,982.96",0.18,"10,377,982.96","109,668.00",94.63,Switzerland,SIX Swiss Exchange,USD,0.83,CHF,-
DBK,DEUTSCHE BANK AG,Financials,Equity,"10,321,140.81",0.17,"10,321,140.81","403,678.00",25.57,Germany,Xetra,USD,0.88,EUR,-
SE,SEA ADS REPRESENTING LTD CLASS A,Communication,Equity,"10,245,074.40",0.17,"10,245,074.40","80,190.00",127.76,Singapore,New York Stock Exchange Inc.,USD,1,USD,-
4502,TAKEDA PHARMACEUTICAL LTD,Health Care,Equity,"10,167,151.07",0.17,"10,167,151.07","342,413.00",29.69,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
NWG,NATWEST GROUP PLC,Financials,Equity,"10,145,235.73",0.17,"10,145,235.73","1,606,221.00",6.32,United Kingdom,London Stock Exchange,USD,0.75,GBP,-
9984,SOFTBANK GROUP CORP,Communication,Equity,"10,088,871.68",0.17,"10,088,871.68","201,100.00",50.17,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
7267,HONDA MOTOR LTD,Consumer Discretionary,Equity,"9,869,552.01",0.17,"9,869,552.01","988,500.00",9.98,Japan,Tokyo Stock Exchange,USD,143.98,JPY,-
BAS,BASF N,Materials,Equity,"9,840,975.50",0.17,"9,840,975.50","192,706.00",51.07,Germany,Xetra,USD,0.88,EUR,-
